timestamp,solar_generation,wind_generation,demand,total_generation,source_file
2024-06-01 17:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-06-01 18:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-06-01 19:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-06-01 20:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-06-01 21:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-06-01 22:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-06-01 23:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 00:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 01:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 02:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 03:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 04:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 05:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 06:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 07:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 08:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 09:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 10:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 11:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 12:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 13:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 14:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 15:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 16:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 17:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 18:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 19:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 20:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 21:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 22:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-07-01 23:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 00:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 01:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 02:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 03:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 04:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 05:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 06:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 07:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 08:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 09:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 10:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 11:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 12:00:00,0,0,0,0,January 2024- June 2025.xlsx
